Trial Number,X,Y,Time (s),Time (ms),Time (s) Per Node
1,18,18,0.0002970695495605469,0.2970695495605469,0.059413909912109375
2,18,18,0.004685878753662109,4.685878753662109,0.2231370835077195
4,18,18,9.918212890625e-05,0.09918212890625,0.0247955322265625
0,19,19,0.0007369518280029297,0.7369518280029297,0.06699562072753906
2,19,19,0.0007500648498535156,0.7500648498535156,0.057697296142578125
0,20,20,0.0027048587799072266,2.7048587799072266,0.11760255564814029
1,20,20,0.006877899169921875,6.877899169921875,0.23716893689385776
2,20,20,0.00799107551574707,7.99107551574707,0.2755543281292093
4,20,20,0.0006129741668701172,0.6129741668701172,0.0360573039335363
1,21,21,0.0018849372863769531,1.8849372863769531,0.08975891839890253
3,21,21,0.017438888549804688,17.438888549804688,0.6707264826847956
4,21,21,0.0028951168060302734,2.8951168060302734,0.1315962184559215
1,22,22,0.0008568763732910156,0.8568763732910156,0.061205455235072544
2,22,22,0.04980802536010742,49.80802536010742,1.383556260002984
3,22,22,0.003033876419067383,3.033876419067383,0.12641151746114096
4,22,22,0.04100513458251953,41.00513458251953,2.0502567291259766
0,23,23,0.030923843383789062,30.923843383789062,0.7191591484602108
1,23,23,0.001689910888671875,1.689910888671875,0.11266072591145833
2,23,23,0.002485990524291992,2.485990524291992,0.09207372312192563
3,23,23,0.003876924514770508,3.876924514770508,0.2153846952650282
4,23,23,0.006905794143676758,6.905794143676758,0.2762317657470703
4,24,24,0.000827789306640625,0.827789306640625,0.0591278076171875
0,25,25,0.00038504600524902344,0.38504600524902344,0.04813075065612793
1,25,25,0.0008041858673095703,0.8041858673095703,0.07310780611905185
2,25,25,0.03742790222167969,37.42790222167969,1.0115649249102618
3,25,25,0.001870870590209961,1.870870590209961,0.09846687316894531
4,25,25,0.020744800567626953,20.744800567626953,0.5606702856115393
1,26,26,0.0013811588287353516,1.3811588287353516,0.07673104604085286
2,26,26,0.01904916763305664,19.04916763305664,0.39685765902201336
3,26,26,0.02853703498840332,28.53703498840332,1.097578268784743
4,26,26,0.0002739429473876953,0.2739429473876953,0.03043810526529948
0,27,27,0.028568029403686523,28.568029403686523,0.7142007350921631
1,27,27,0.0049321651458740234,4.932165145874023,0.16440550486246744
2,27,27,0.0019080638885498047,1.9080638885498047,0.054516111101422994
3,27,27,0.0006759166717529297,0.6759166717529297,0.05199359013484074
4,27,27,0.003097057342529297,3.097057342529297,0.15485286712646484
1,28,28,0.03699898719787598,36.99898719787598,0.9024143218994141
0,29,29,0.0982658863067627,98.2658863067627,2.7296079529656305
1,29,29,0.00995492935180664,9.95492935180664,0.3318309783935547
2,29,29,0.05419206619262695,54.19206619262695,2.463275736028498
3,29,29,0.01809382438659668,18.09382438659668,0.6239249788481613
4,29,29,0.10494804382324219,104.94804382324219,2.385182814164595
0,30,30,0.06360816955566406,63.60816955566406,1.8708285163430607
1,30,30,0.020033836364746094,20.033836364746094,0.7705321678748498
2,30,30,0.11230206489562988,112.30206489562988,2.441349236861519
3,30,30,0.0812530517578125,81.2530517578125,2.0834115835336537
1,31,31,0.003383159637451172,3.383159637451172,0.14096498489379883
2,31,31,0.08797621726989746,87.97621726989746,6.7674013284536505
4,31,31,0.02250194549560547,22.50194549560547,0.6818771362304688
0,33,33,0.012637138366699219,12.637138366699219,0.30822288699266387
2,33,33,0.12262606620788574,122.62606620788574,5.839336486089797
3,33,33,0.004128932952880859,4.128932952880859,0.15880511357234076
0,34,34,0.0002720355987548828,0.2720355987548828,0.03886222839355469
1,34,34,0.011651992797851562,11.651992797851562,0.40179285509832974
3,34,34,0.07564115524291992,75.64115524291992,2.161175864083426
4,34,34,0.0008099079132080078,0.8099079132080078,0.05399386088053385
2,35,35,0.02521514892578125,25.21514892578125,0.9338944046585648
3,35,35,0.00023293495178222656,0.23293495178222656,0.05823373794555664
4,35,35,0.016849994659423828,16.849994659423828,0.4955880782183479
0,36,36,0.20370793342590332,203.70793342590332,3.843545913696289
2,36,36,0.01955103874206543,19.55103874206543,0.45467531958291696
0,37,37,0.017030000686645508,17.030000686645508,0.43666668427296174
2,37,37,0.04389810562133789,43.89810562133789,0.860747169045841
3,37,37,0.0012969970703125,1.2969970703125,0.058954412286931816
2,38,38,0.001558065414428711,1.558065414428711,0.09165090673110064
1,39,39,0.03671693801879883,36.71693801879883,1.1474043130874634
2,39,39,0.001680135726928711,1.680135726928711,0.1680135726928711
3,39,39,0.32788705825805664,327.88705825805664,6.97632038846929
4,39,39,0.04549288749694824,45.49288749694824,0.9889758151510487
1,40,40,0.14681482315063477,146.81482315063477,2.067814410572321
2,40,40,0.004436969757080078,4.436969757080078,0.20168044350363992
3,40,40,0.037980079650878906,37.980079650878906,1.4607722942645733
4,40,40,0.032978057861328125,32.978057861328125,0.507354736328125
2,41,41,0.07244396209716797,72.44396209716797,2.4147987365722656
3,41,41,0.1816549301147461,181.6549301147461,4.780392897756476
0,42,42,0.01671910285949707,16.71910285949707,0.6966292858123779
2,42,42,0.12222599983215332,122.22599983215332,2.6570869528728984
1,43,43,0.01564192771911621,15.641927719116211,0.9201133952421301
2,43,43,0.020524024963378906,20.524024963378906,0.5547033773886191
4,43,43,0.014944076538085938,14.944076538085938,0.2621767813699287
3,44,44,0.03713679313659668,37.13679313659668,1.0922586216646082
4,44,44,0.3280448913574219,328.0448913574219,5.7551735325863485
0,45,45,0.2552640438079834,255.2640438079834,4.5582864965711325
1,45,45,0.18477392196655273,184.77392196655273,30.79565366109212
2,45,45,0.020496845245361328,20.496845245361328,0.6405264139175415
3,45,45,0.28757786750793457,287.57786750793457,7.373791474562425
1,47,47,0.2561159133911133,256.1159133911133,4.832375724360628
2,47,47,0.1004180908203125,100.4180908203125,2.136555123836436
4,47,47,0.019732952117919922,19.732952117919922,0.4812915150712176
1,48,48,0.2678821086883545,267.8821086883545,4.391509978497615
4,48,48,0.3807380199432373,380.7380199432373,4.944649609652433
1,49,49,0.001809835433959961,1.809835433959961,0.08618263971237909
3,49,49,0.3488318920135498,348.8318920135498,7.927997545762495
0,50,50,0.040853023529052734,40.853023529052734,0.6924241276110633
1,50,50,0.14406895637512207,144.06895637512207,1.4852469729394029
3,50,50,0.014488935470581055,14.488935470581055,0.5795574188232422
4,50,50,0.10400700569152832,104.00700569152832,1.705032880188989
0,51,51,0.6041719913482666,604.1719913482666,7.192523706526983
2,51,51,0.05362296104431152,53.62296104431152,1.8490676222176388
4,51,51,0.006166934967041016,6.166934967041016,0.3083467483520508
0,52,52,0.022063016891479492,22.063016891479492,0.525309925987607
1,52,52,0.019421100616455078,19.421100616455078,0.6264871166598412
3,52,52,0.12618803977966309,126.18803977966309,4.2062679926554365
1,53,53,0.15239500999450684,152.39500999450684,2.6275001723190834
2,53,53,0.3064301013946533,306.4301013946533,6.128602027893066
2,54,54,0.0018391609191894531,1.8391609191894531,0.07663170496622722
4,54,54,0.23096203804016113,230.96203804016113,5.2491372281854805
0,55,55,0.10171914100646973,101.71914100646973,2.542978525161743
3,55,55,0.1162869930267334,116.2869930267334,4.153106893811907
3,56,56,0.010969877243041992,10.969877243041992,0.3782716290704135
1,57,57,1.8798341751098633,1879.8341751098633,32.410934053618334
2,58,58,0.27901601791381836,279.01601791381836,3.985943113054548
2,60,60,0.13191699981689453,131.91699981689453,3.2174878004120617
3,60,60,0.0034461021423339844,3.4461021423339844,0.18137379696494654
4,61,61,0.11919307708740234,119.19307708740234,2.4325117772939255
2,62,62,0.0014491081237792969,1.4491081237792969,0.11146985567533053
3,62,62,0.45856595039367676,458.56595039367676,6.844267916323534
1,63,63,4.5129499435424805,4512.9499435424805,92.10101925596899
2,63,63,0.08190608024597168,81.90608024597168,2.213677844485721
1,64,64,2.4758710861206055,2475.8710861206055,61.89677715301514
3,64,64,0.07956790924072266,79.56790924072266,1.6576647758483887
1,65,65,0.0020689964294433594,2.0689964294433594,0.1217056723201976
2,65,65,0.0016460418701171875,1.6460418701171875,0.08230209350585938
3,65,65,1.3025522232055664,1302.5522232055664,35.20411414069098
0,66,66,0.11425399780273438,114.25399780273438,3.360411700080423
2,66,66,0.0245058536529541,24.5058536529541,0.6448908856040553
3,66,66,2.273829936981201,2273.829936981201,27.069404011680966
4,66,66,0.23439383506774902,234.39383506774902,4.507573751302866
4,69,69,0.03923797607421875,39.23797607421875,1.0325783177425987
3,70,70,2.991255044937134,2991.255044937134,49.85425074895223
4,70,70,7.942553997039795,7942.553997039795,84.49525528765739
1,71,71,5.579398155212402,5579.398155212402,68.88145870632596
2,71,71,1.2696740627288818,1269.6740627288818,30.23033482687814
3,71,71,0.8862299919128418,886.2299919128418,52.13117599487305
1,72,72,0.0042459964752197266,4.245996475219727,0.12866655985514322
4,75,75,0.10824298858642578,108.24298858642578,3.0067496829562717
1,79,79,7.556907892227173,7556.907892227173,65.14575769161355
2,79,79,0.0018720626831054688,1.8720626831054688,0.06455388562432651
3,80,80,0.01020503044128418,10.20503044128418,0.2489031814947361
0,81,81,0.015133142471313477,15.133142471313477,0.3783285617828369
2,81,81,4.625338077545166,4625.338077545166,78.39556063635875
2,82,82,1.8735618591308594,1873.5618591308594,25.665230946998072
1,83,83,4.794329881668091,4794.329881668091,47.00323413400089
4,84,84,0.009618997573852539,9.618997573852539,0.23460969692323266
0,85,85,0.0026688575744628906,2.6688575744628906,0.14826986524793836
0,86,86,0.5706748962402344,570.6748962402344,8.3922778858858
3,87,87,0.016618967056274414,16.618967056274414,0.5036050623113458
2,88,88,0.17183709144592285,171.83709144592285,3.124310753562234
3,88,88,7.173159837722778,7173.159837722778,76.31021103960403
1,89,89,0.09527897834777832,95.27897834777832,2.8872417681144946
0,90,90,18.4551260471344,18455.1260471344,323.7741411777965
1,92,92,10.016797065734863,10016.797065734863,256.840950403458
2,93,93,0.034596920013427734,34.596920013427734,1.0175564709831686
4,93,93,0.6379549503326416,637.9549503326416,12.759099006652832
2,96,96,29.533570051193237,29533.570051193237,321.01706577383953
1,97,97,7.531942129135132,7531.942129135132,163.73787237250286
0,99,99,0.03001117706298828,30.01117706298828,4.2873110089983255
1,99,99,0.03913283348083496,39.13283348083496,1.150965690612793
3,99,99,0.017921924591064453,17.921924591064453,0.5600601434707642
4,99,99,0.006798982620239258,6.798982620239258,0.22663275400797525
0,100,100,0.6001999378204346,600.1999378204346,11.324527128687444
1,100,100,0.37224912643432617,372.2491264343262,3.353595733642578
3,100,100,0.008170127868652344,8.170127868652344,0.32680511474609375
